id,supplier_id,brand_id,list_price,cost,description,category_id,catalog_number,weight,condition,is_obsolete,ship_time,freight_class
2930353,9,9,73.45,30.85,Climax GSCC-062-062SKW 5/8^ X 5/8^ ID SPLIT KW Clamp Coupling SS,152,GSCC-062-062SKW,0.822169,1,FALSE,24,50
2930354,9,9,22.21,9.33,Climax GSCC-075-050 3/4^ x 1/2^ ID SPLIT Clamp Coupling STL BO,152,GSCC-075-050,0.7625,1,FALSE,24,50
2930355,9,9,65.45,27.49,Climax GSCC-075-050-S 3/4^ X 1/2^ ID SPLIT Clamp Coupling SS,152,GSCC-075-050-S,0.758168,1,FALSE,24,50
2930356,9,9,23.62,9.92,Climax GSCC-075-062 3/4^ x 5/8^ ID SPLIT Clamp Coupling STL BO,152,GSCC-075-062,0.7625,1,FALSE,24,50
2930357,9,9,67.24,28.24,Climax GSCC-075-062-S 3/4^ x 5/8^ ID SPLIT Clamp Coupling SS,152,GSCC-075-062-S,0.758168,1,FALSE,24,50
2930358,9,9,64.02,26.89,Climax GSCC-075-075-S 3/4^ X 3/4^ ID SPLIT Clamp Coupling SS,152,GSCC-075-075-S,1.298879,1,FALSE,24,50
2930359,9,9,83.83,35.21,Climax GSCC-075-075SKW 3/4^ X 3/4^ ID SPLIT KW Clamp Coupling SS,152,GSCC-075-075SKW,1.289288,1,FALSE,24,50
2930360,9,9,28.62,12.02,Climax GSCC-087-062 7/8^ x 5/8^ ID SPLIT Clamp Coupling STL BO,152,GSCC-087-062,0.9625,1,FALSE,24,50
2930361,9,9,87.6,36.79,Climax GSCC-087-062-S 7/8^ X 5/8^ ID SPLIT Clamp Coupling SS,152,GSCC-087-062-S,0.957032,1,FALSE,24,50
2930362,9,9,80.24,33.7,Climax GSCC-087-087-S 7/8^ X 7/8^ ID SPLIT Clamp Coupling SS,152,GSCC-087-087-S,1.578482,1,FALSE,24,50
2930363,9,9,102.33,42.98,Climax GSCC-087-087SKW 7/8^ X 7/8^ ID SPLIT KW Clamp Coupling SS,152,GSCC-087-087SKW,1.449991,1,FALSE,24,50
2930364,9,9,32.71,13.74,Climax GSCC-100-050 1^ X 1/2^ ID SPLIT Clamp Coupling STL BO,152,GSCC-100-050,2.05,1,FALSE,24,50
2930365,9,9,99.88,41.95,Climax GSCC-100-050-S 1^ X 1/2^ ID SPLIT Clamp Coupling SS,152,GSCC-100-050-S,2.038355,1,FALSE,24,50
2930366,9,9,32.62,13.7,Climax GSCC-100-075 1^ x 3/4^ ID SPLIT Clamp Coupling STL BO,152,GSCC-100-075,1.25,1,FALSE,24,50
2930367,9,9,99.88,41.95,Climax GSCC-100-075-S 1^ X 3/4^ ID SPLIT Clamp Coupling SS,152,GSCC-100-075-S,1.242899,1,FALSE,24,50
2930368,9,9,79.71,33.48,Climax GSCC-100-100-S 1^X1^ID x 1-3/4^OD X3^L 1-PC SPLIT T304 STAINLESS COUPLING,152,GSCC-100-100-S,1.802204,1,FALSE,24,50
2930369,9,9,119.38,50.14,Climax GSCC-100-100SKW 1^ X 1^ ID SPLIT KW Clamp Coupling SS,152,GSCC-100-100SKW,1.790115,1,FALSE,24,50
2930370,9,9,49.36,20.73,Climax GSCC-112-100 1 1/8^ X 1^ ID SPLIT Clamp Coupling STL BO,152,GSCC-112-100,1.375,1,FALSE,24,50
2930371,9,9,126.52,53.14,Climax GSCC-112-100-S 1 1/8^ X 1^ ID SPLIT Clamp Coupling SS,152,GSCC-112-100-S,1.367189,1,FALSE,24,50
2930372,9,9,114,47.88,Climax GSCC-112-112-S 1 1/8^ X 1 1/8^ ID SPLIT Clamp Coupling SS,152,GSCC-112-112-S,1.367189,1,FALSE,24,50
2930373,9,9,150.21,63.09,Climax GSCC-112-112SKW 1 1/8^ X 1 1/8^ ID SPLIT KW Clamp Coupling SS,152,GSCC-112-112SKW,1.358018,1,FALSE,24,50
2930374,9,9,44.43,18.66,Climax GSCC-125-100 1 1/4^ x 1^ ID SPLIT Clamp Coupling STL BO,152,GSCC-125-100,1.775,1,FALSE,24,50
2930375,9,9,126.64,53.19,Climax GSCC-125-100-S 1 1/4^ X 1^ ID SPLIT Clamp Coupling SS,152,GSCC-125-100-S,1.764917,1,FALSE,24,50
2930376,9,9,122.19,51.32,Climax GSCC-125-125-S 1 1/4^ X 1 1/4^ ID SPLIT Clamp Coupling SS,152,GSCC-125-125-S,1.764917,1,FALSE,24,50
2930377,9,9,162.86,68.4,Climax GSCC-125-125SKW 1 1/4^ X 1 1/4^ ID SPLIT KW Clamp Coupling SS,152,GSCC-125-125SKW,1.75622,1,FALSE,24,50
2930378,9,9,62.79,26.37,Climax GSCC-137-100 1 3/8^ x 1^ ID SPLIT Clamp Coupling STL BO,152,GSCC-137-100,2.3125,1,FALSE,24,50
2930379,9,9,180.88,75.97,Climax GSCC-137-100-S 1 3/8 x 1^ ID SPLIT Clamp Coupling SS,152,GSCC-137-100-S,2.299364,1,FALSE,24,50
2930380,9,9,154.12,64.73,Climax GSCC-137-137-S 1 3/8^ x 1 3/8^ ID SPLIT Clamp Coupling SS,152,GSCC-137-137-S,2.299364,1,FALSE,24,50
2930381,9,9,69.36,29.13,Climax GSCC-150-100 1 1/2^ x 1^ ID SPLIT Clamp Coupling STL BO,152,GSCC-150-100,3.0938,1,FALSE,24,50
2930382,9,9,180.38,75.76,Climax GSCC-150-100-S 1 1/2^ x 1^ ID SPLIT Clamp Coupling SS,152,GSCC-150-100-S,3.076226,1,FALSE,24,50
2930383,9,9,162.62,68.3,Climax GSCC-150-150-S 1 1/2^ X 1 1/2^ ID SPLIT Clamp Coupling SS,152,GSCC-150-150-S,3.076226,1,FALSE,24,50
2930384,9,9,195.26,82.01,Climax GSCC-150-150SKW 1 1/2^ X 1 1/2^ ID SPLIT KW Clamp Coupling SS,152,GSCC-150-150SKW,3.065669,1,FALSE,24,50
2930385,9,9,103.88,43.63,Climax GSCC-175-175 1 3/4^ X 1 3/4^ ID SPLIT Clamp Coupling STL BO,152,GSCC-175-175,3.0938,1,FALSE,24,50
2930386,9,9,120.31,50.53,Climax GSCC-175-175-KW 1 3/4^ X 1 3/4^ ID SPLIT KW Clamp Coupling STL BO,152,GSCC-175-175-KW,3.083182,1,FALSE,24,50
2930387,9,9,118.88,49.93,Climax GSCC-200-200 2^ X 2^ ID SPLIT Clamp Coupling STL BO,152,GSCC-200-200,6.6875,1,FALSE,24,50
2930388,9,9,142.88,60.01,Climax GSCC-200-200-KW 2^ X 2^ ID SPLIT KW Clamp Coupling STL BO,152,GSCC-200-200-KW,6.669018,1,FALSE,24,50
2930389,9,9,359.9,151.16,Climax GSCC-200-200-S 2^ X 2^ ID SPLIT Clamp Coupling SS,152,GSCC-200-200-S,6.649513,1,FALSE,24,50
2930390,9,9,387.07,162.57,Climax GSCC-200-200SKW 2^ X 2^ ID SPLIT KW Clamp Coupling SS,152,GSCC-200-200SKW,6.631136,1,FALSE,24,50
2930391,9,9,2.79,1.17,Climax GSTC-010-32-B 10-32 ID SPLIT Threaded Clamp Collar STL BO,118,GSTC-010-32-B,0.0269,1,FALSE,24,50
2930392,9,9,6.64,2.79,Climax GSTC-010-32-SS 10-32 ID SPLIT Threaded Clamp Collar SS,118,GSTC-010-32-SS,0.026747,1,FALSE,24,50
2930393,9,9,2.79,1.17,Climax GSTC-025-20-B 1/4^-20 ID SPLIT Threaded Clamp Collar STL BO,118,GSTC-025-20-B,0.025,1,FALSE,24,50
2930394,9,9,6.64,2.79,Climax GSTC-025-20-SS 1/4^-20 ID SPLIT Threaded Clamp Collar SS,118,GSTC-025-20-SS,0.024857,1,FALSE,24,50
2930395,9,9,2.79,1.17,Climax GSTC-025-28-B 1/4^-28 ID SPLIT Threaded Clamp Collar STL BO,118,GSTC-025-28-B,0.0256,1,FALSE,24,50
