"ID","DETAIL_ATTRIBUTES"
6351251,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351253,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351283,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351291,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351339,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351347,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351351,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351367,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351375,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351395,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351397,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351399,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351401,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351403,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351435,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351447,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351459,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351479,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
6351481,"Glow in the Dark:Yes|Header Background Color:Black|Header Legend Color:Yellow|Includes:Installation Hardware|Printed Language:Spanish|Retroreflective Grade:Not Retroreflective|Sign Legend Text Color:Black|Sign Mounting Style:With Mounting Holes|UV Resistant:Yes"
