"ID","WEIGHT"
482316,"3.8"
482294,"5"
482286,"4.2"
482276,"6.3"
482221,"2.3"
482220,"3"
482165,"3.8"
482164,"3.8"
482162,"7.8"
482107,"3.5"
482052,"6.5"
481945,"15.71"
481918,"6.78"
481915,"7.2"
481913,"6.8"
481884,"47.2"
481880,"18.69"
481878,"34.25"
481766,"2.3"
481765,"3.8"
481764,"3.8"
481761,"3.5"
481758,"2"
481756,"23.5"
481754,"45"
481753,"14"
481750,"24.99"
481749,"46.5"
481748,"43.6"
481744,"45"
481736,"6.9"
481153,"5.5"
481152,"6"
481129,"4.2"
481035,"21.5"
481013,"9.3"
481006,"17"
481004,"7.4"
480982,"16.6"
480874,"2.18"
480870,"4.2"
480868,"2.28"
480766,"14.14"
480732,"8.67"
480723,"5.99"
480712,"6.8"
480699,"9.37"
480689,"6.4"
480688,"5.4"
480685,"8.3"
480679,"27"
480664,"4"
480647,"3.3"
480614,"6"
480599,"4.5"
480577,"12.09"
480556,"0.1"
480555,"5"
480553,"4.08"
480550,"3.3"
480548,"3.3"
480543,"2.88"
480540,"2.07"
480537,"1.7"
480534,"2.75"
480525,"1.95"
480519,"1.68"
480518,"1.63"
480511,"1.46"
480506,"1.2"
480504,"1.03"
480496,"0.9"
480489,"0.48"
480487,"16"
480476,"12"
480474,"10.45"
480468,"11"
480464,"7.73"
480462,"13"
480460,"8.3"
480459,"5.79"
480457,"6.97"
480451,"6.95"
480448,"5.79"
480446,"5.79"
480441,"4.1"
480435,"3.29"
480431,"1.88"
480427,"1.52"
480424,"1.02"
480420,"1.16"
480414,"0.7"
480405,"9.52"
480402,"9.2"
480399,"8.8"
480397,"4.96"
480240,"29"
480239,"28"
480238,"16.5"
480237,"8.52"
480236,"10.35"
480235,"5.01"
480234,"5.84"
480233,"5.64"
480232,"10.74"
480231,"10.45"
480230,"10.67"
480229,"4.17"
480228,"4.16"
480191,"4.46"
480189,"3.13"
480186,"1.34"
480184,"0.5"
480156,"17.42"
471752,"0.9"
485726,"2.3"
485724,"0.47"
485722,"1.7"
485721,"4.02"
485720,"0.61"
485719,"0.86"
485718,"1.79"
485716,"0.29"
485714,"28.63"
485713,"7.45"
485712,"22.94"
485711,"12.93"
485710,"3.57"
485708,"2.42"
485706,"1.6"
485705,"3.63"
485704,"0.93"
485703,"3.03"
485702,"0.72"
485700,"0.51"
485699,"1.45"
485698,"0.35"
485697,"0.88"
485696,"0.22"
485695,"1.01"
485694,"0.94"
485693,"19.29"
485692,"4.4"
485691,"15.03"
485690,"15.5"
485689,"3.57"
485688,"22"
485687,"15"
485686,"15.26"
485685,"3.24"
485684,"11.45"
485683,"12.46"
485682,"2.57"
485681,"9.35"
485680,"2.17"
485679,"7.31"
485678,"1.73"
485677,"5.74"
485676,"5.76"
485675,"1.36"
485674,"4.28"
485673,"4.66"
485672,"1.07"
485671,"3.23"
485670,"3.49"
485669,"3.49"
485668,"0.79"
485667,"2.36"
485666,"2.57"
485665,"0.55"
485664,"1.8"
485663,"1.9"
485662,"0.45"
485661,"1.3"
485660,"0.3"
485659,"0.18"
485658,"0.11"
485657,"111.45"
485656,"30"
485655,"75.05"
485654,"20.5"
485653,"73.16"
485652,"18.62"
485651,"58.65"
485650,"15.65"
485649,"47.52"
485648,"12.37"
485647,"37.26"
485646,"36.65"
485645,"9.68"
485644,"28.32"
485643,"7.52"
485642,"25.66"
485641,"6.72"
485640,"20.36"
485639,"5.18"
485638,"16.7"
485637,"4.3"
485636,"13.66"
485635,"13.88"
485634,"3.72"
485633,"11.22"
485632,"2.85"
485631,"9.31"
485630,"9.31"
485629,"10.05"
485628,"10.06"
485627,"2.35"
485626,"2.35"
485625,"7.96"
485624,"8.28"
485623,"8.28"
485622,"2.07"
485621,"2.07"
485620,"5.98"
485618,"6.31"
485617,"6.31"
485616,"1.58"
485615,"4.78"
485614,"5.14"
485613,"1.25"
485612,"4.34"
485611,"4.66"
485610,"1.26"
485609,"4.01"
485608,"4.01"
485607,"4.21"
485606,"1.13"
485605,"1.2"
485604,"3.08"
485603,"3.33"
485602,"3.33"
485601,"3.33"
485600,"0.78"
485599,"2.38"
485598,"2.54"
485597,"2.54"
485596,"0.64"
485595,"1.8"
485594,"1.84"
485593,"0.46"
485592,"1.57"
485591,"1.7"
485590,"1.69"
485589,"0.42"
485588,"1.44"
485587,"0.35"
485585,"1.06"
485584,"0.25"
485583,"0.69"
485581,"0.17"
485580,"0.14"
485578,"0.46"
485577,"0.12"
485576,"0.88"
485574,"3.5"
485573,"12.24"
485572,"12.96"
485571,"2.78"
485570,"11.28"
485569,"2.47"
485568,"9.47"
485567,"2.02"
485566,"7.48"
485565,"7.99"
485564,"7.97"
485563,"1.73"
485562,"6.33"
485561,"6.89"
485560,"1.48"
485559,"5.18"
485558,"5.57"
485556,"1.2"
485555,"4.13"
485554,"4.16"
485552,"4.54"
485551,"0.98"
485550,"3.33"
485548,"3.59"
485547,"3.32"
485546,"0.79"
485545,"2.62"
485544,"2.88"
485543,"2.87"
485542,"2.86"
485540,"0.6"
485539,"0.62"
485538,"2.05"
485537,"2.2"
485536,"2.2"
485535,"2.19"
485534,"2.03"
485533,"0.49"
485531,"1.49"
485530,"1.55"
485529,"1.68"
485528,"1.6"
485527,"0.34"
485525,"1.1"
478859,"3.62"
478858,"2.65"
478857,"2.69"
478856,"2.78"
478855,"3.09"
478853,"3.13"
478852,"1.11"
478850,"2.07"
478849,"1.18"
478848,"1.39"
478846,"2.14"
478845,"2.14"
478844,"2"
478842,"1.72"
478841,"1.63"
478840,"1.81"
478839,"1.73"
478838,"1.81"
478837,"1.76"
478834,"0.77"
478833,"0.88"
478832,"2"
478831,"1.07"
478830,"1.14"
478829,"1.21"
478828,"2.06"
478827,"1.4"
478825,"1.34"
478824,"0.35"
478820,"0.41"
478819,"0.46"
478809,"0.5"
478808,"0.74"
478796,"0.66"
478794,"0.63"
478780,"7.01"
478779,"9.07"
478778,"23.1"
478777,"14.54"
478775,"2.3"
478774,"5.2"
478773,"49.2"
478772,"37.1"
478771,"40"
478770,"41.75"
478769,"41.75"
478767,"41.07"
478766,"32.7"
478765,"33"
478764,"23.7"
478763,"37.06"
478762,"32.7"
478760,"35.11"
478759,"35.11"
478758,"30.4"
478757,"28.66"
478756,"29.32"
478755,"29.32"
478751,"18.43"
478750,"15.95"
478749,"13"
478748,"15.02"
478743,"14.53"
478742,"12.79"
478741,"13.1"
478740,"12.09"
478739,"12.09"
478734,"11.21"
478733,"10"
478731,"9.21"
478725,"8.09"
478724,"7.25"
478723,"6.47"
478722,"8.33"
478721,"5.2"
478720,"6.59"
478719,"6.59"
478716,"6.1"
478715,"5"
478714,"5.2"
478713,"5.2"
478712,"5.54"
478709,"4"
478708,"4"
478707,"4.95"
478706,"4.13"
478702,"3.8"
478700,"3.1"
478699,"3.1"
478695,"3.4"
478694,"2.6"
478693,"2.58"
478689,"1.66"
478688,"1.8"
478687,"1.66"
478686,"1.66"
478685,"1.66"
478684,"197.5"
478683,"196.21"
478682,"209.34"
478681,"213.88"
478679,"209.34"
478678,"96.67"
478677,"94.36"
478676,"90"
478675,"100.16"
478674,"102.17"
478672,"100.16"
478670,"71.5"
478669,"60"
478668,"62.57"
478667,"63.92"
478665,"63"
478660,"41.35"
478659,"33.13"
478658,"33.18"
478657,"33.89"
478656,"33.18"
478651,"22"
478650,"22"
478649,"23.1"
478647,"23.1"
485524,"1.2"
485523,"1.18"
485522,"1.11"
485520,"0.28"
485519,"0.27"
485518,"0.81"
485517,"0.88"
485516,"0.2"
485515,"0.55"
485514,"0.57"
485513,"0.12"
485510,"12.91"
485509,"3.49"
485508,"9.25"
