"ID","DETAIL_ATTRIBUTES"
758400,"Gear Drive Size:Earth;JupiterPlus;NeptunePlus;OrionPlus;TitanPlus|Height (in):11.00|Length (in):5.00|Volume Unit:GLL|Width (in):11.00"
758401,"Gear Drive Size:Earth;JupiterPlus;NeptunePlus;OrionPlus;TitanPlus|Height (in):11.00|Length (in):5.00|Volume Unit:GLL|Width (in):11.00"
758419,"Gear Drive Size:Delta;Luna;Orion|Height (in):3.00|Length (in):2.00|Volume Unit:GLL|Width (in):3.00"
758420,"Gear Drive Size:Delta;Luna;Orion;NeptunePlus|Height (in):2.00|Length (in):2.00|Volume Unit:CDM|Width (in):2.00"
758421,"Gear Drive Size:Delta;Luna;Orion;NeptunePlus|Height (in):3.00|Length (in):2.00|Volume Unit:GLL|Width (in):3.00"
758422,"Gear Drive Size:Delta;Luna|Height (in):7.00|Length (in):3.00|Volume Unit:GLL|Width (in):7.00"
758423,"Gear Drive Size:Delta;Luna|Height (in):7.00|Length (in):3.00|Volume Unit:GLL|Width (in):7.00"
758424,"Gear Drive Size:Delta;Luna|Height (in):7.00|Length (in):3.00|Volume Unit:GLL|Width (in):7.00"
758425,"Gear Drive Size:Delta;Luna|Height (in):3.00|Length (in):3.00|Volume Unit:GLL|Width (in):3.00"
758426,"Gear Drive Size:Delta;Luna|Height (in):4.00|Length (in):3.00|Volume Unit:GLL|Width (in):4.00"
758427,"Gear Drive Size:Delta;Luna|Height (in):2.00|Length (in):3.00|Volume Unit:GLL|Width (in):2.00"
758428,"Gear Drive Size:Delta;Luna|Height (in):8.00|Length (in):4.00|Volume Unit:GLL|Width (in):8.00"
758429,"Gear Drive Size:Delta;Luna|Height (in):8.00|Length (in):4.00|Volume Unit:GLL|Width (in):8.00"
758430,"Gear Drive Size:Delta;Luna|Height (in):8.00|Length (in):4.00|Volume Unit:GLL|Width (in):8.00"
758431,"Gear Drive Size:Delta|Height (in):4.00|Length (in):4.00|Volume Unit:GLL|Width (in):4.00"
758432,"Gear Drive Size:Delta|Height (in):5.00|Length (in):4.00|Volume Unit:GLL|Width (in):5.00"
