ID,ATTRIBUTES
478897,Product Size:5|Coupling Type:Elastomeric
478904,Product Size:5|Coupling Type:Elastomeric
478905,Product Size:5|Coupling Type:Elastomeric
478908,Product Size:5|Coupling Type:Elastomeric
478909,Product Size:5|Coupling Type:Elastomeric
478910,Product Size:5|Coupling Type:Elastomeric
478917,Product Size:5|Coupling Type:Elastomeric
478918,Product Size:5|Coupling Type:Elastomeric
478919,Product Size:5|Coupling Type:Elastomeric
478923,Product Size:10|Coupling Type:Elastomeric
478925,Product Size:10M|Coupling Type:Elastomeric
478926,Product Size:10|Coupling Type:Elastomeric
478927,Product Size:10|Coupling Type:Elastomeric
478929,Product Size:10|Coupling Type:Elastomeric
478930,Product Size:10|Coupling Type:Elastomeric
478931,Product Size:10|Coupling Type:Elastomeric
478933,Product Size:10|Coupling Type:Elastomeric
478934,Product Size:10|Coupling Type:Elastomeric
478935,Product Size:10|Coupling Type:Elastomeric
478936,Product Size:10|Coupling Type:Elastomeric
478937,Product Size:10|Coupling Type:Elastomeric
478938,Product Size:10|Coupling Type:Elastomeric
478939,Product Size:10|Coupling Type:Elastomeric
478951,Product Size:30|Coupling Type:Elastomeric
479012,Product Size:50|Coupling Type:Elastomeric
479083,Product Size:20|Coupling Type:Elastomeric
479084,Product Size:20|Coupling Type:Elastomeric
479086,Product Size:20M|Coupling Type:Elastomeric
479087,Product Size:20|Coupling Type:Elastomeric
479088,Product Size:20|Coupling Type:Elastomeric
479089,Product Size:20|Coupling Type:Elastomeric
479090,Product Size:20|Coupling Type:Elastomeric
479091,Product Size:20|Coupling Type:Elastomeric
479092,Product Size:20|Coupling Type:Elastomeric
479093,Product Size:20|Coupling Type:Elastomeric
479094,Product Size:20|Coupling Type:Elastomeric
479095,Product Size:20|Coupling Type:Elastomeric
479096,Product Size:20|Coupling Type:Elastomeric
479097,Product Size:30|Coupling Type:Elastomeric
479100,Product Size:30M|Coupling Type:Elastomeric
479102,Product Size:30|Coupling Type:Elastomeric
479103,Product Size:30|Coupling Type:Elastomeric
479104,Product Size:30|Coupling Type:Elastomeric
479105,Product Size:30|Coupling Type:Elastomeric
479106,Product Size:30|Coupling Type:Elastomeric
479107,Product Size:30|Coupling Type:Elastomeric
479108,Product Size:30|Coupling Type:Elastomeric
479109,Product Size:30|Coupling Type:Elastomeric
479110,Product Size:40|Coupling Type:Elastomeric
479111,Product Size:40|Coupling Type:Elastomeric
479113,Product Size:40M|Coupling Type:Elastomeric
479114,Product Size:40|Coupling Type:Elastomeric
479115,Product Size:40|Coupling Type:Elastomeric
479116,Product Size:40|Coupling Type:Elastomeric
479117,Product Size:40|Coupling Type:Elastomeric
479118,Product Size:40|Coupling Type:Elastomeric
479119,Product Size:40|Coupling Type:Elastomeric
479120,Product Size:40|Coupling Type:Elastomeric
479121,Product Size:40|Coupling Type:Elastomeric
479122,Product Size:40|Coupling Type:Elastomeric
479123,Product Size:50|Coupling Type:Elastomeric
479124,Product Size:50M|Coupling Type:Elastomeric
479125,Product Size:50|Coupling Type:Elastomeric
479126,Product Size:50|Coupling Type:Elastomeric
479127,Product Size:50|Coupling Type:Elastomeric
479128,Product Size:50|Coupling Type:Elastomeric
479129,Product Size:50|Coupling Type:Elastomeric
479130,Product Size:60|Coupling Type:Elastomeric
479132,Product Size:60M|Coupling Type:Elastomeric
479133,Product Size:60|Coupling Type:Elastomeric
