"id", "catalog_number", "attributes", "detail_attributes"
"5022581","56023","Blade Width (in):42","Pole Length (mm):1372|Temperature Range (C):0&amp;#176; to 60&amp;#176;|Blade Height (in):3.0|Blade Height (mm):76|Pulley Diameter Range (mm):50 to 267|Pole/Mounting Material:304 Stainless Steel|Blade Durometer:85A Shore Hardness|Maximum Conveyor Span (mm):1321|Blade Width (in):42|Maximum Conveyor Span (in):52|Weight (kg):5.2|Blade Width (mm):1067|Temperature Range (F):+32&amp;#176; to 140&amp;#176;|Pole Length (in):54|Pulley Diameter Range (in):2 to 10.5|Weight (lbs):11.5|Blade Material:Blue Metal Detectable Urethane Tip with PVC Base"
"5022580","56022","Blade Width (in):36","Pole Length (mm):1219|Temperature Range (C):0&amp;#176; to 60&amp;#176;|Blade Height (in):3.0|Blade Height (mm):76|Pulley Diameter Range (mm):50 to 267|Pole/Mounting Material:304 Stainless Steel|Blade Durometer:85A Shore Hardness|Maximum Conveyor Span (mm):1168|Blade Width (in):36|Maximum Conveyor Span (in):46|Weight (kg):4.8|Blade Width (mm):914|Temperature Range (F):+32&amp;#176; to 140&amp;#176;|Pole Length (in):48|Pulley Diameter Range (in):2 to 10.5|Weight (lbs):10.5|Blade Material:Blue Metal Detectable Urethane Tip with PVC Base"
"5022579","56021","Blade Width (in):30","Pole Length (mm):1067|Temperature Range (C):0&amp;#176; to 60&amp;#176;|Blade Height (in):3.0|Blade Height (mm):76|Pulley Diameter Range (mm):50 to 267|Pole/Mounting Material:304 Stainless Steel|Blade Durometer:85A Shore Hardness|Maximum Conveyor Span (mm):1016|Blade Width (in):30|Maximum Conveyor Span (in):40|Weight (kg):4.3|Blade Width (mm):762|Temperature Range (F):+32&amp;#176; to 140&amp;#176;|Pole Length (in):42|Pulley Diameter Range (in):2 to 10.5|Weight (lbs):9.5|Blade Material:Blue Metal Detectable Urethane Tip with PVC Base"
"5022578","56020","Blade Width (in):24","Pole Length (mm):965|Temperature Range (C):0&amp;#176; to 60&amp;#176;|Blade Height (in):3.0|Blade Height (mm):76|Pulley Diameter Range (mm):50 to 267|Pole/Mounting Material:304 Stainless Steel|Blade Durometer:85A Shore Hardness|Maximum Conveyor Span (mm):864|Blade Width (in):24|Maximum Conveyor Span (in):34|Weight (kg):3.9|Blade Width (mm):610|Temperature Range (F):+32&amp;#176; to 140&amp;#176;|Pole Length (in):36|Pulley Diameter Range (in):2 to 10.5|Weight (lbs):8.6|Blade Material:Blue Metal Detectable Urethane Tip with PVC Base"
"5022576","56019","Blade Width (in):18","Pole Length (mm):813|Temperature Range (C):0&amp;#176; to 60&amp;#176;|Blade Height (in):3.0|Blade Height (mm):76|Pulley Diameter Range (mm):50 to 267|Pole/Mounting Material:304 Stainless Steel|Blade Durometer:85A Shore Hardness|Maximum Conveyor Span (mm):711|Blade Width (in):18|Maximum Conveyor Span (in):28|Weight (kg):3.5|Blade Width (mm):457|Temperature Range (F):+32&amp;#176; to 140&amp;#176;|Pole Length (in):30|Pulley Diameter Range (in):2 to 10.5|Weight (lbs):7.7|Blade Material:Blue Metal Detectable Urethane Tip with PVC Base"
"5022573","56018","Blade Width (in):12","Pole Length (mm):610|Temperature Range (C):0&amp;#176; to 60&amp;#176;|Blade Height (in):3.0|Blade Height (mm):76|Pulley Diameter Range (mm):50 to 267|Pole/Mounting Material:304 Stainless Steel|Blade Durometer:85A Shore Hardness|Maximum Conveyor Span (mm):559|Blade Width (in):12|Maximum Conveyor Span (in):22|Weight (kg):3.0|Blade Width (mm):305|Temperature Range (F):+32&amp;#176; to 140&amp;#176;|Pole Length (in):24|Pulley Diameter Range (in):2 to 10.5|Weight (lbs):6.7|Blade Material:Blue Metal Detectable Urethane Tip with PVC Base"
"2835516","99631","",""
"2569685","76493","",""
"2569295","75786","",""
"2569142","RC48","Width (in):48","Pole Diameter (in):2 3/8|Maximum Belt Speed (FPM):1000|Cleaner Material:Mild Steel Powdercoat|Maximum Belt Speed (M/sec):5|Pole Length (mm):1950|Usable Blade Wear Length (mm):9|Horizontal Clearance Required (mm):100|CEMA Rating:Class 4|Pole Diameter (mm):60|Maximum Conveyor Span (mm):1825|Blade Material:Impact Resistant Tungsten Carbide C-Tips (works with mechanical fasteners)|Temperature Range (C):-35&amp;#176; to 82&amp;#176;|Belt Width (in):48|Belt Width (mm):1200|Vertical Clearance Required (in):8|Horizontal Clearance Required (in):4|Maximum Conveyor Span (in):73|Pole Length (in):78|Weight (lbs):113.5|Blade Configuration:Segmented|Blades Required:8|Usable Blade Wear Length (in):3/8|Vertical Clearance Required (mm):200|Weight (kg):51.5|Temperature Range (F):-30&amp;#176; to 180&amp;#176;|Tensioner:Bolt-up Tensioner"
