file-name,catalog-number,list-price,net-price,is-product-not-found
3-1313.xhtml,RDA15012,,,
3-1314.xhtml,RDA1506,,,
3-1315.xhtml,RDA10012,,,
3-1316.xhtml,RDA1006,,,
3-1317.xhtml,RDA5524,,,
3-1318.xhtml,RDA5520,,,
3-1319.xhtml,RDA5512,,,
3-132.xhtml,,,,/file/general/404top.png
3-1320.xhtml,RDA556,,,
3-1321.xhtml,RDA3014,,,
3-1322.xhtml,RDA308,,,
3-1323.xhtml,RDA1010,,,
3-1324.xhtml,RCD1505,"$9,591.00","$5,466.87",
3-1325.xhtml,RCD10010A,"$8,598.00","$4,900.86",
3-1326.xhtml,RCD1006A,"$6,483.00","$3,695.31",
3-1327.xhtml,RCD1003A,"$6,174.00","$3,519.18",
3-1328.xhtml,RCD6010A,"$6,369.00","$3,630.33",
3-1329.xhtml,RCD307A,"$2,433.00","$1,386.81",
3-133.xhtml,,,,/file/general/404top.png
3-1330.xhtml,RC1003A,"$6,063.00","$3,455.91",
3-1331.xhtml,RC606A,"$3,812.00","$2,172.84",
3-1332.xhtml,RC603A,"$2,828.00","$1,611.96",
3-1333.xhtml,RC306A,"$2,314.00","$1,318.98",
3-1334.xhtml,RC302A,"$1,748.00",$996.36,
3-1335.xhtml,RC206A,"$1,861.00","$1,060.77",
3-1336.xhtml,RC202A,"$1,303.00",$742.71,
3-1337.xhtml,RC123A,"$1,143.00",$651.51,
3-1338.xhtml,RC121A,$946.00,$539.22,
3-1339.xhtml,RC120A,$730.00,$416.10,
3-134.xhtml,,,,/file/general/404top.png
3-1340.xhtml,RAS15010B,"$7,286.00","$4,153.02",
3-1341.xhtml,RAS1506B,"$6,458.00","$3,681.06",
3-1342.xhtml,RAS1502B,"$3,911.00","$2,229.27",
3-1343.xhtml,RAS10010B,"$5,736.00","$3,269.52",
3-1344.xhtml,RAS1006B,"$3,801.00","$2,166.57",
3-1345.xhtml,RAS1004B,"$3,508.00","$1,999.56",
3-1346.xhtml,RAS1002B,"$2,979.00","$1,698.03",
3-1347.xhtml,RAS504B,"$1,845.00","$1,051.65",
3-1348.xhtml,RAS502B,"$1,787.00","$1,018.59",
3-1349.xhtml,RAL15010,"$8,734.00","$4,978.38",
3-135.xhtml,ZAJ06505S2C,"$12,584.00","$8,179.60",
3-1350.xhtml,RAL1506,"$7,822.00","$4,458.54",
3-1351.xhtml,RAL1502,,,
3-1352.xhtml,RAL10010,"$8,212.00","$4,680.84",
3-1353.xhtml,RAL1006,"$6,388.00","$3,641.16",
3-1354.xhtml,RAL1004,"$4,954.00","$2,823.78",
3-1355.xhtml,RAL1002,,,
3-1356.xhtml,RAL5010,"$4,954.00","$2,823.78",
3-1357.xhtml,RAL506,"$3,650.00","$2,080.50",
3-1358.xhtml,RAL504,"$2,999.00","$1,709.43",
3-1359.xhtml,RAL502,"$2,868.00","$1,634.76",
3-136.xhtml,ZAJ06505S1C,,,
3-1360.xhtml,RACD15010,,,
3-1361.xhtml,RACD1506,"$11,234.00","$6,403.38",
3-1362.xhtml,RACD1502,"$7,565.00","$4,312.05",
3-1363.xhtml,RACD10010,"$10,873.00","$6,197.61",
3-1364.xhtml,RACD1006,"$8,313.00","$4,738.41",
3-1365.xhtml,RACD1004,"$5,908.00","$3,367.56",
3-1366.xhtml,RACD1002,"$5,385.00","$3,069.45",
3-1367.xhtml,RACD5010,"$6,066.00","$3,457.62",
3-1368.xhtml,RACD506,"$5,248.00","$2,991.36",
3-1369.xhtml,RACD504,"$3,350.00","$1,909.50",
3-137.xhtml,ZAJ06505M1,,,
3-1370.xhtml,RACD502,"$3,212.00","$1,830.84",
3-1371.xhtml,RACD3010,"$4,353.00","$2,481.21",
3-1372.xhtml,RACD306,"$3,364.00","$1,917.48",
3-1373.xhtml,RACD302,"$2,377.00","$1,354.89",
3-1374.xhtml,RAC606,"$4,474.00","$2,550.18",
3-1375.xhtml,RAC603,"$3,447.00","$1,964.79",
3-1376.xhtml,RAC306A,"$2,999.00","$1,709.43",
3-1377.xhtml,RAC303,"$2,230.00","$1,271.10",
3-1378.xhtml,R10010,"$4,306.00","$2,454.42",
3-1379.xhtml,R1006,"$3,655.00","$2,083.35",
3-138.xhtml,WUD1301E,"$4,891.00","$3,179.15",
3-1380.xhtml,R7513,"$4,099.00","$2,336.43",
3-1381.xhtml,R756,"$3,491.00","$1,989.87",
3-1382.xhtml,R5513,"$2,736.00","$1,559.52",
3-1383.xhtml,R556,"$1,757.00","$1,001.49",
3-1384.xhtml,R554,"$1,654.00",$942.78,
3-1385.xhtml,R552,"$1,539.00",$877.23,
3-1386.xhtml,R308,"$1,571.00",$895.47,
3-1387.xhtml,R2514,"$1,607.00",$915.99,
3-1388.xhtml,R2512,"$1,540.00",$877.80,
3-1389.xhtml,R2510,"$1,330.00",$758.10,
3-139.xhtml,WUD1301B,"$4,785.00","$3,110.25",
3-1390.xhtml,R258,"$1,146.00",$653.22,
3-1391.xhtml,R256,$864.00,$492.48,
3-1392.xhtml,R254,$756.00,$430.92,
3-1393.xhtml,R252,$695.00,$396.15,
3-1394.xhtml,R251,$649.00,$369.93,
3-1395.xhtml,R1514,"$1,332.00",$759.24,
3-1396.xhtml,R1510,$903.00,$514.71,
3-1397.xhtml,R156,$714.00,$406.98,
3-1398.xhtml,R154,$630.00,$359.10,
3-1399.xhtml,R152,$617.00,$351.69,
3-14.xhtml,HCR5006,"$22,579.00","$14,676.35",
3-140.xhtml,WUD1300E,"$4,752.00","$3,088.80",
3-1400.xhtml,R1014,$833.00,$474.81,
3-1401.xhtml,R1012,$769.00,$438.33,
3-1402.xhtml,R1010,$634.00,$361.38,
3-1403.xhtml,R108,$625.00,$356.25,
3-1404.xhtml,R106,$529.00,$301.53,
3-1405.xhtml,R104,$478.00,$272.46,
3-1406.xhtml,R102,$434.00,$247.38,
3-1407.xhtml,R101,$421.00,$239.97,
3-1408.xhtml,R59,$603.00,$343.71,
3-1409.xhtml,R57,$503.00,$286.71,
3-141.xhtml,WUD1101E,"$4,785.00","$3,110.25",
3-1410.xhtml,R55,$401.00,$228.57,
3-1411.xhtml,R53,$380.00,$216.60,
3-1412.xhtml,R51,$374.00,$213.18,
3-1413.xhtml,R50,$341.00,$194.37,
3-1414.xhtml,18348,$67.00,$38.19,
3-1415.xhtml,18347,$67.00,$38.19,
3-1416.xhtml,18326,$326.00,$185.82,
3-1417.xhtml,18323,$185.00,$105.45,
3-1418.xhtml,PO5E,$89.00,$50.73,
3-1419.xhtml,PO5,,,
3-142.xhtml,WUD1101B,"$4,675.00","$3,038.75",
3-1420.xhtml,PO4,,,
3-1421.xhtml,PO3,$476.00,$271.32,
3-1422.xhtml,PO2,,,
3-1423.xhtml,PIT4,"$6,102.00","$3,478.14",
3-1424.xhtml,P461D,"$3,089.00","$1,760.73",
3-1425.xhtml,P461,"$2,475.00","$1,410.75",
3-1426.xhtml,P1606A,"$1,069.00",$609.33,
3-1427.xhtml,P1604A,"$1,069.00",$609.33,
3-1428.xhtml,P1603A,"$1,069.00",$609.33,
3-1429.xhtml,P72,$617.00,$351.69,
3-143.xhtml,WUD1100E,"$4,646.00","$3,019.90",
3-1430.xhtml,P71V,$735.00,$418.95,
3-1431.xhtml,P71,$555.00,$316.35,
3-1432.xhtml,P42,$600.00,$342.00,
3-1433.xhtml,P41,$445.00,$253.65,
3-1434.xhtml,P32,$509.00,$290.13,
3-1435.xhtml,P30,$635.00,$361.95,
3-1436.xhtml,P22,$546.00,$311.22,
3-1437.xhtml,P20,$650.00,$370.50,
3-1438.xhtml,P10008A,$801.00,$456.57,
3-1439.xhtml,P10006A,$771.00,$439.47,
3-144.xhtml,WUD1100B,"$4,536.00","$2,948.40",
3-1440.xhtml,P10004A,$771.00,$439.47,
3-1441.xhtml,P10003A,$771.00,$439.47,
3-1442.xhtml,P100012A,$883.00,$503.31,
3-1443.xhtml,NS6075,,,
3-1444.xhtml,NS5060,,,
3-1445.xhtml,NS4150,,,
3-1446.xhtml,NS3241,,,
3-1447.xhtml,NS2432,,,
3-1448.xhtml,NS1924,,,
3-1449.xhtml,NS1319,,,
3-145.xhtml,WTR24,"$3,314.00","$2,154.10",
