id,catalog_number,upc_number,weight,main_image,documents,attributes
5899816,10735397,EXIST,EXIST,EXIST,,
5899815,10735395,EXIST,EXIST,EXIST,,
5899814,10735393,EXIST,EXIST,EXIST,,
5899813,10735391,EXIST,EXIST,EXIST,,
5899812,10735389,EXIST,EXIST,EXIST,,
5899811,10735387,EXIST,EXIST,EXIST,,
5899810,10735385,EXIST,EXIST,EXIST,,
5899809,10735383,EXIST,EXIST,EXIST,,
5899808,10735381,EXIST,EXIST,EXIST,,
5899807,10735379,EXIST,EXIST,EXIST,,
5899806,10735377,EXIST,EXIST,EXIST,,
5899805,10735375,EXIST,EXIST,EXIST,,
5899804,10735373,EXIST,EXIST,EXIST,,
5899803,10735371,EXIST,EXIST,EXIST,,
5899802,10735369,EXIST,EXIST,EXIST,,
5899801,10735367,EXIST,EXIST,EXIST,,
5899800,10735365,EXIST,EXIST,EXIST,,
5899799,10735363,EXIST,EXIST,EXIST,,
5899798,10735361,EXIST,EXIST,EXIST,,
5899797,10735359,EXIST,EXIST,EXIST,,
5899796,10735357,EXIST,EXIST,EXIST,,
5899795,10735355,EXIST,EXIST,EXIST,,
5899794,10735353,EXIST,EXIST,EXIST,,
5899793,10735351,EXIST,EXIST,EXIST,,
5899792,10735349,EXIST,EXIST,EXIST,,
5899791,10735347,EXIST,EXIST,EXIST,,
5899790,10735345,EXIST,EXIST,EXIST,,
5899789,10735343,EXIST,EXIST,EXIST,,
5899788,10735341,EXIST,EXIST,EXIST,,
5899787,10735339,EXIST,EXIST,EXIST,,
5899786,10735337,EXIST,EXIST,EXIST,,
5899785,10735335,EXIST,EXIST,EXIST,,
5899784,10735333,EXIST,EXIST,EXIST,,
5899783,10735331,EXIST,EXIST,EXIST,,
5899782,10735329,EXIST,EXIST,EXIST,,
5899781,10735327,EXIST,EXIST,EXIST,,
5899780,10735325,EXIST,EXIST,EXIST,,
5899779,10735323,EXIST,EXIST,EXIST,,
5899778,10735321,EXIST,EXIST,EXIST,,
5899777,10735319,EXIST,EXIST,EXIST,,
5899776,10735317,EXIST,EXIST,EXIST,,
5899775,10735315,EXIST,EXIST,EXIST,,
5899774,10735313,EXIST,EXIST,EXIST,,
5899773,10735311,EXIST,EXIST,EXIST,,
5899772,10735309,EXIST,EXIST,EXIST,,
5899771,10735307,EXIST,EXIST,EXIST,,
5899770,10735305,EXIST,EXIST,EXIST,,
5899769,10735303,EXIST,EXIST,EXIST,,
5899768,10735301,EXIST,EXIST,EXIST,,
5899767,10735299,EXIST,EXIST,EXIST,,
5899766,10735297,EXIST,EXIST,EXIST,,
5899765,10735295,EXIST,EXIST,EXIST,,
5899764,10735293,EXIST,EXIST,EXIST,,
5899763,10735291,EXIST,EXIST,EXIST,,
5899762,10735289,EXIST,EXIST,EXIST,,
5899761,10735287,EXIST,EXIST,EXIST,,
5899760,10735285,EXIST,EXIST,EXIST,,
5899759,10735283,EXIST,EXIST,EXIST,,
5899758,10735281,EXIST,EXIST,EXIST,,
5899757,10735279,EXIST,EXIST,EXIST,,
5899756,10735277,EXIST,EXIST,EXIST,,
5899755,10735275,EXIST,EXIST,EXIST,,
5899754,10735273,EXIST,EXIST,EXIST,,
5899753,10735271,EXIST,EXIST,EXIST,,
5899752,10735269,EXIST,EXIST,EXIST,,
5899751,10735267,EXIST,EXIST,EXIST,,
5899750,10735265,EXIST,EXIST,EXIST,,
5899749,10735263,EXIST,EXIST,EXIST,,
5899748,10735261,EXIST,EXIST,EXIST,,
5899747,10735259,EXIST,EXIST,EXIST,,
5899746,10735257,EXIST,EXIST,EXIST,,
5899745,10735255,EXIST,EXIST,EXIST,,
5899744,10735253,EXIST,EXIST,EXIST,,
5899743,10735251,EXIST,EXIST,EXIST,,
5899742,10735249,EXIST,EXIST,EXIST,,
5899741,10735247,EXIST,EXIST,EXIST,,
5899740,10735234,EXIST,EXIST,,,
5899739,10735215,EXIST,EXIST,EXIST,,
5899738,10735213,EXIST,EXIST,EXIST,,
5899737,10735211,EXIST,EXIST,EXIST,,
5899736,MEP2307V044378,EXIST,EXIST,EXIST,,
5899735,P3U227NK34,EXIST,EXIST,EXIST,,
5899734,P3U210NK5,EXIST,EXIST,EXIST,,
5899733,PB22427E7K98,EXIST,EXIST,EXIST,,
5899731,KBR230012,EXIST,EXIST,,,
5899730,P3CL247H,EXIST,EXIST,,,
5899729,FC3CL247H,EXIST,EXIST,,,
5899728,10730685,EXIST,EXIST,,,
5899727,ZEF2055MM,EXIST,EXIST,,,
5899726,GBR2315G,EXIST,EXIST,,,
5899725,10729812,EXIST,EXIST,,,
5899724,MBR2300GR0678,EXIST,EXIST,,,
5899723,FCEU355J18W4,EXIST,EXIST,,,
5899722,FCU355J18W4,EXIST,EXIST,,,
5899721,ZF2203054078,EXIST,EXIST,,,
5899720,CHBS2E32N3,EXIST,EXIST,EXIST,,
5899719,10727311,EXIST,EXIST,,,
5899718,MFS223E1,EXIST,EXIST,,,
5899717,ZNT6311518,EXIST,EXIST,,,
5899716,10725349,EXIST,EXIST,,,
5899715,10725348,EXIST,EXIST,,,
5899714,10725347,EXIST,EXIST,,,
5899713,10725346,EXIST,EXIST,,,
5899712,10725335,EXIST,EXIST,,,
5899711,10725334,EXIST,EXIST,,,
5899710,10725333,EXIST,EXIST,,,
5899709,10725332,EXIST,EXIST,,,
5899708,10725331,EXIST,EXIST,,,
5899707,10725330,EXIST,EXIST,,,
5899706,10725329,EXIST,EXIST,,,
5899705,10725328,EXIST,EXIST,,,
5899704,10725327,EXIST,EXIST,,,
5899703,10725326,EXIST,EXIST,,,
5899702,10725325,EXIST,EXIST,,,
5899701,10725324,EXIST,EXIST,,,
5899700,10725322,EXIST,EXIST,,,
5899699,10725321,EXIST,EXIST,,,
5899698,10725320,EXIST,EXIST,,,
5899697,10725319,EXIST,EXIST,,,
5899696,10725317,EXIST,EXIST,,,
5899695,10725316,EXIST,EXIST,,,
5899694,10725303,EXIST,EXIST,,,
5899693,10725302,EXIST,EXIST,,,
5899692,10725301,EXIST,EXIST,,,
5899691,10725300,EXIST,EXIST,,,
5899690,10725299,EXIST,EXIST,,,
5899689,10725298,EXIST,EXIST,,,
5899688,10725297,EXIST,EXIST,,,
5899687,10725257,EXIST,EXIST,,,
5899686,10725185,EXIST,EXIST,,,
5899685,MNT11531530,EXIST,EXIST,,,
5899684,CHBS224JE,EXIST,EXIST,EXIST,,
5899683,10716847,EXIST,EXIST,,,
5899682,10716846,EXIST,EXIST,,,
5899681,10716725,EXIST,EXIST,,,
5899680,10716724,EXIST,EXIST,,,
5899679,PLA331N,EXIST,EXIST,,,
5899678,MA2208F72,EXIST,EXIST,,,
5899677,10715097,EXIST,EXIST,,,
5899676,10715096,EXIST,EXIST,,,
5899675,MA2207F72,EXIST,EXIST,,,
5899674,10714825,EXIST,EXIST,,,
5899673,FC3S231E1K6,EXIST,EXIST,,,
5899672,UG2B39NL,EXIST,EXIST,,,
5899671,ZP5403YF78,EXIST,EXIST,,,
5899670,PEU355J,EXIST,EXIST,,,
5899669,FCB22439E7K4,EXIST,EXIST,,,
5899668,F3S228E14B,EXIST,EXIST,,,
5899667,10713265,EXIST,EXIST,,,
5899666,10713041,EXIST,EXIST,,,
5899665,F3CL216E3,EXIST,EXIST,,,
5899664,ZB2200B,EXIST,EXIST,EXIST,,
5899663,10709282,EXIST,EXIST,,,
5899662,10709281,EXIST,EXIST,,,
5899661,X100003,EXIST,EXIST,,,
5899660,X100002,EXIST,EXIST,,,
5899659,P3U2E48NK75,EXIST,EXIST,,,
5899658,XEK211,EXIST,EXIST,,,
5899657,XEJ211,EXIST,EXIST,,,
5899656,PL3CL224JHK55,EXIST,EXIST,,,
5899655,10702729,EXIST,EXIST,,,
5899654,10702728,EXIST,EXIST,,,
5899653,CLG216HFFL,EXIST,EXIST,,,
5899652,BL1044100FT,EXIST,,EXIST,,
5899651,10685117,EXIST,EXIST,,,
5899650,10685116,EXIST,EXIST,,,
5899649,10685115,EXIST,EXIST,,,
5899648,10685114,EXIST,EXIST,,,
5899647,10685113,EXIST,EXIST,,,
5899646,10685112,EXIST,EXIST,,,
5899645,10685111,EXIST,EXIST,,,
5899644,10685110,EXIST,EXIST,,,
5899643,10685109,EXIST,EXIST,,,
5899642,10685108,EXIST,EXIST,,,
5899641,10685107,EXIST,EXIST,,,
5899640,10685106,EXIST,EXIST,,,
5899639,10685105,EXIST,EXIST,,,
5899638,10685104,EXIST,EXIST,,,
5899637,10685103,EXIST,EXIST,,,
5899636,10685102,EXIST,EXIST,,,
5899635,10685101,EXIST,EXIST,,,
5899634,10685100,EXIST,EXIST,,,
5899633,10685099,EXIST,EXIST,,,
5899632,10685098,EXIST,EXIST,,,
5899631,10685097,EXIST,EXIST,,,
5899630,10685096,EXIST,EXIST,,,
5899629,10685095,EXIST,EXIST,,,
5899628,10685094,EXIST,EXIST,,,
5899627,10685093,EXIST,EXIST,,,
5899626,10685092,EXIST,EXIST,,,
5899625,10685091,EXIST,EXIST,,,
5899624,10685090,EXIST,EXIST,,,
5899623,10685089,EXIST,EXIST,,,
5899622,10685088,EXIST,EXIST,,,
5899621,10685087,EXIST,EXIST,,,
5899620,10685086,EXIST,EXIST,,,
5899619,10685085,EXIST,EXIST,,,
5899618,10685084,EXIST,EXIST,,,
5899617,10685083,EXIST,EXIST,,,
5899616,10685082,EXIST,EXIST,,,
5899615,10685081,EXIST,EXIST,,,
5899614,10685080,EXIST,EXIST,,,
5899613,10685079,EXIST,EXIST,,,
5899612,10685078,EXIST,EXIST,,,
5899611,10685077,EXIST,EXIST,,,
5899610,10685076,EXIST,EXIST,,,
5899609,10685075,EXIST,EXIST,,,
5899608,10685074,EXIST,EXIST,,,
5899607,10685073,EXIST,EXIST,,,
