file_name,catalog_number,attribute_name,attribute_value
1%20(14),110050,Port Size,Manifold Mount
1%20(14),110050,Height (in),3.083
1%20(14),110050,Width (in),3.7
1%20(140),100954,Stroke Length (in),0.818
1%20(141),100955,Stroke Length (in),0.818
1%20(142),100956,Stroke Length (in),0.818
1%20(143),100957,Stroke Length (in),0.818
1%20(144),100958,Stroke Length (in),0.818
1%20(145),100959,Stroke Length (in),0.818
1%20(146),100960,Stroke Length (in),1.267
1%20(147),100961,Stroke Length (in),1.267
1%20(148),100962,Stroke Length (in),1.267
1%20(149),100963,Stroke Length (in),1.267
1%20(15),110051,Length (in),5.68
1%20(15),110051,Port Size,7/16-20UNF SAE-4
1%20(15),110051,Height (in),3.083
1%20(15),110051,Width (in),3.7
1%20(150),100964,Stroke Length (in),1.267
1%20(151),100965,Stroke Length (in),1.267
1%20(152),100976,Stroke Length (in),0.818
1%20(153),100977,Stroke Length (in),0.818
1%20(154),100978,Stroke Length (in),0.818
1%20(155),100979,Width (in),1.593
1%20(157),100986,Length (in),2.49
1%20(157),100986,Stroke Length (in),0.188
1%20(157),100986,Width (in),1.625
1%20(158),100988,Stroke Length (in),1.625
1%20(159),100989,Stroke Length (in),1.625
1%20(16),110052,Length (in),5.68
1%20(16),110052,Port Size,1/4 NPTF
1%20(16),110052,Height (in),3.083
1%20(16),110052,Width (in),3.7
1%20(160),100990,Stroke Length (in),1.625
1%20(161),110001,Stroke Length (in),0.638
1%20(162),110002,Stroke Length (in),0.638
1%20(163),110003,Stroke Length (in),0.638
1%20(164),110004,Stroke Length (in),0.638
1%20(165),110005,Stroke Length (in),0.638
1%20(166),110006,Stroke Length (in),0.638
1%20(167),110007,Stroke Length (in),0.638
1%20(168),110008,Stroke Length (in),0.638
1%20(169),110009,Stroke Length (in),0.638
1%20(170),110010,Stroke Length (in),0.638
1%20(171),110011,Stroke Length (in),0.638
1%20(172),110012,Stroke Length (in),0.638
1%20(173),110013,Stroke Length (in),0.638
1%20(174),110014,Stroke Length (in),0.638
1%20(175),110015,Stroke Length (in),0.638
1%20(176),110016,Stroke Length (in),0.638
1%20(177),110017,Stroke Length (in),0.638
1%20(178),110018,Stroke Length (in),0.638
1%20(179),110053,Stroke Length (in),0.818
1%20(180),110054,Stroke Length (in),0.818
1%20(181),110055,Stroke Length (in),0.818
1%20(182),110056,Stroke Length (in),0.818
1%20(183),110057,Stroke Length (in),0.818
1%20(184),110058,Stroke Length (in),0.818
1%20(185),110079,Stroke Length (in),1.267
1%20(186),110080,Stroke Length (in),1.267
1%20(187),110081,Stroke Length (in),1.267
1%20(188),110082,Stroke Length (in),1.267
1%20(189),110083,Stroke Length (in),1.267
1%20(190),110084,Stroke Length (in),1.267
